Id,Name,Code
0,Switzerland,CHE
1,Germany,DEU
2,Denmark,DNK
3,Spain,ESP
4,France,FRA
5,United Kingdom,GBR
6,Greece,GRC
7,Italy,ITA
8,Netherlands,NLD
9,Sweden,SWE
