CountryId,IndicatorId,YearId,Measurement
0,3,1980,48.644815990495
0,3,1981,48.6456389779986
0,3,1982,48.6574749395269
0,3,1983,48.676971839195
0,3,1984,48.6996853103995
0,3,1985,48.7220733241508
0,3,1986,48.74347428653
0,3,1987,48.7643598670659
0,3,1988,48.7836622788605
0,3,1989,48.8003686323014
0,3,1990,48.8140086245446
0,3,1991,48.8240193438786
0,3,1992,48.8304858038666
0,3,1993,48.834397520315
0,3,1994,48.8367142486741
0,3,1995,48.8386637217339
0,3,1996,48.8407617646252
0,3,1997,48.8433123675551
0,3,1998,48.8468119758453
0,3,1999,48.8515510332984
0,3,2000,48.8582489567125
0,3,2001,48.8664573389641
0,3,2002,48.8770117021574
0,3,2003,48.8926873905445
0,3,2004,48.9169450312737
0,3,2005,48.952065693239
0,3,2006,48.9984326815332
0,3,2007,49.0540648476725
0,3,2008,49.1158528346311
0,3,2009,49.1789369374929
0,3,2010,49.2400630375913
0,3,2011,49.2984433516277
0,3,2012,49.3541213630459
0,3,2013,49.4055772957929
0,3,2014,49.45156612787
0,3,2015,49.4913867135122
0,3,2016,49.5244044838164
0,3,2017,49.5510003374017
0,3,2018,49.5728753377763
0,3,2019,0
0,4,1960,51.5623073757694
0,4,1961,51.5163365294572
0,4,1962,51.4647490846173
0,4,1963,51.4106149938627
0,4,1964,51.3573247573655
0,4,1965,51.3076731458818
0,4,1966,51.2610776750079
0,4,1967,51.2178897009344
0,4,1968,51.1812375876236
0,4,1969,51.1552750488114
0,4,1970,51.1423465512398
0,4,1971,51.1433993271912
0,4,1972,51.1565780225061
0,4,1973,51.1787612565868
0,4,1974,51.205803980572
0,4,1975,51.2342925259479
0,4,1976,51.2640118485279
0,4,1977,51.2947703634525
0,4,1978,51.3229680157638
0,4,1979,51.3441738469296
0,4,1980,51.355184009505
0,4,1981,51.3543610220014
0,4,1982,51.3425250604731
0,4,1983,51.323028160805
0,4,1984,51.3003146896005
0,4,1985,51.2779266758492
0,4,1986,51.25652571347
0,4,1987,51.2356401329341
0,4,1988,51.2163377211395
0,4,1989,51.1996313676986
0,4,1990,51.1859913754554
0,4,1991,51.1759806561214
0,4,1992,51.1695141961334
0,4,1993,51.165602479685
0,4,1994,51.1632857513259
0,4,1995,51.1613362782661
0,4,1996,51.1592382353748
0,4,1997,51.1566876324449
0,4,1998,51.1531880241547
0,4,1999,51.1484489667016
0,4,2000,51.1417510432875
0,4,2001,51.1335426610359
0,4,2002,51.1229882978426
0,4,2003,51.1073126094555
0,4,2004,51.0830549687263
0,4,2005,51.047934306761
0,4,2006,51.0015673184668
0,4,2007,50.9459351523275
0,4,2008,50.8841471653689
0,4,2009,50.8210630625071
0,4,2010,50.7599369624087
0,4,2011,50.7015566483723
0,4,2012,50.6458786369541
0,4,2013,50.5944227042071
0,4,2014,50.5484338721299
0,4,2015,50.5086132864878
0,4,2016,50.4755955161836
0,4,2017,50.4489996625983
0,4,2018,50.4271246622237
0,4,2019,0
0,5,1960,36.7229427900694
0,5,1961,37.1196334793676
0,5,1962,37.2263557175281
0,5,1963,37.1295688810725
0,5,1964,36.9368489230934
0,5,1965,36.6965239191737
0,5,1966,36.7279420318329
0,5,1967,36.7172274663096
0,5,1968,36.6779819806512
0,5,1969,36.5887174294454
0,5,1970,36.4192135393218
0,5,1971,36.3708018885239
0,5,1972,36.1987862021506
0,5,1973,35.9022257337647
0,5,1974,35.4632984267209
0,5,1975,34.8593308818582
0,5,1976,34.1255574098619
0,5,1977,33.3063131119531
0,5,1978,32.3670538596199
0,5,1979,31.3263645900733
0,5,1980,30.2574299120207
0,5,1981,29.2938072385272
0,5,1982,28.359446815285
0,5,1983,27.5025271989863
0,5,1984,26.7524623554779
0,5,1985,26.1152540006442
0,5,1986,25.7775882764514
0,5,1987,25.4353663762958
0,5,1988,25.1373593490803
0,5,1989,24.9532670827446
0,5,1990,24.9216343610541
0,5,1991,25.0055200037396
0,5,1992,25.2501080044598
0,5,1993,25.5853539347646
0,5,1994,25.8868738555063
0,5,1995,26.0714062341934
0,5,1996,26.2546467233005
0,5,1997,26.3061039722868
0,5,1998,26.2362665496306
0,5,1999,26.098231266305
0,5,2000,25.9235148475425
0,5,2001,25.591115391373
0,5,2002,25.2279831789588
0,5,2003,24.8345737324335
0,5,2004,24.4125928547292
0,5,2005,23.9805994556018
0,5,2006,23.5445981725474
0,5,2007,23.1230090192328
0,5,2008,22.7354102351584
0,5,2009,22.3993269825335
0,5,2010,22.128264843124
0,5,2011,22.015312466924
0,5,2012,21.9294243062497
0,5,2013,21.8996510586067
0,5,2014,21.9330836836183
0,5,2015,22.0108203581971
0,5,2016,22.158469506636
0,5,2017,22.2987096363321
0,5,2018,22.4340179320499
0,5,2019,0
0,6,1960,2.34145036125234
0,6,1961,2.46907706945766
0,6,1962,2.56756756756757
0,6,1963,2.51633668194675
0,6,1964,2.53585569731632
0,6,1965,2.4679592507394
0,6,1966,2.53079335934511
0,6,1967,2.38237384506041
0,6,1968,2.17651757188498
0,6,1969,2.19792370538731
0,6,1970,2.10334748800529
0,6,1971,2.05252682169037
0,6,1972,1.9681261245823
0,6,1973,1.86144856220206
0,6,1974,1.87597448618001
0,6,1975,1.90075273804003
0,6,1976,2.16258100873485
0,6,1977,2.02208656286439
0,6,1978,1.9673644305258
0,6,1979,2.03979942603046
0,6,1980,1.67860654586318
0,6,1981,1.66280222143271
0,6,1982,1.72819451127189
0,6,1983,1.74880558932822
0,6,1984,1.70124830295676
0,6,1985,1.82497186832109
0,6,1986,1.66102195140386
0,6,1987,1.56186605542128
0,6,1988,1.5648052643261
0,6,1989,1.5241653668033
0,6,1990,1.57214718757236
0,6,1991,1.53782488553083
0,6,1992,1.52370927239544
0,6,1993,1.36696434518412
0,6,1994,1.33228409403183
0,6,1995,1.35549638608327
0,6,1996,1.28375680158363
0,6,1997,1.22086410342116
0,6,1998,1.18520390139366
0,6,1999,1.08621220546806
0,6,2000,1.02928011745958
0,6,2001,0.991880080138388
0,6,2002,0.956388349764947
0,6,2003,0.926630419400856
0,6,2004,0.888925074606932
0,6,2005,0.85262333256622
0,6,2006,0.772549518810112
0,6,2007,0.734436907291815
0,6,2008,0.739302153433981
0,6,2009,0.748964861447704
0,6,2010,0.704958038758128
0,6,2011,0.710978910190575
0,6,2012,0.687404673295181
0,6,2013,0.730988469549893
0,6,2014,0.650435689974034
0,6,2015,0.665028267183461
0,6,2016,0.682321327530876
0,6,2017,0.681602395155031
0,6,2018,0.675557385670456
0,6,2019,0
0,7,1960,14.1707430158668
