"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Sweden","SWE","Contributing family workers, male (% of male employment) (modeled ILO estimate)","SL.FAM.WORK.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.462999999523163","0.469999998807907","0.483000010251999","0.46000000834465","0.437000006437302","0.488999992609024","0.486000001430511","0.451999992132187","0.368000000715256","0.657999992370605","0.409000009298325","0.488000005483627","0.451999992132187","0.485000014305115","0.344999998807907","0.314999997615814","0.289000004529953","0.232999995350838","0.187000006437302","0.26800000667572","0.212999999523163","0.215000003576279","0.219999998807907","0.207000002264977","0.243000000715256","0.239999994635582","0.252000004053116","0.241999998688698","0.236000001430511",
"Sweden","SWE","Contributing family workers, female (% of female employment) (modeled ILO estimate)","SL.FAM.WORK.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.662000000476837","0.674000024795532","0.694999992847443","0.662000000476837","0.629999995231628","0.611000001430511","0.52700001001358","0.582000017166138","0.686999976634979","0.264999985694885","0.501999974250793","0.449000000953674","0.372999995946884","0.398000001907349","0.323000013828278","0.229000002145767","0.279000014066696","0.279000014066696","0.243000000715256","0.23199999332428","0.199000000953674","0.256999999284744","0.212999999523163","0.228000000119209","0.247999995946884","0.272000014781952","0.254999995231628","0.245000004768372","0.238000005483627",
"Sweden","SWE","Children in employment, unpaid family workers (% of children in employment, ages 7-14)","SL.FAM.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sweden","SWE","Children in employment, unpaid family workers, male (% of male children in employment, ages 7-14)","SL.FAM.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sweden","SWE","Children in employment, unpaid family workers, female (% of female children in employment, ages 7-14)","SL.FAM.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sweden","SWE","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","SL.EMP.WORK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87.6920013427734","87.6370010375977","87.6009979248047","87.661003112793","87.7409973144531","87.7910003662109","88.25","88.5780029296875","88.5339965820313","88.9169998168945","89.306999206543","89.302001953125","89.620002746582","89.4940032958984","89.2180023193359","89.3000030517578","89.4029998779297","89.5920028686523","89.3119964599609","89.0540008544922","89.5810012817383","89.5500030517578","89.4100036621094","89.6679992675781","89.7460021972656","90.0110015869141","90.1439971923828","90.1740036010742","90.1949996948242",
"Sweden","SWE","Wage and salaried workers, male (% of male employment) (modeled ILO estimate)","SL.EMP.WORK.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82.7310028076172","82.5950012207031","82.5169982910156","82.6429977416992","82.7760009765625","82.6829986572266","83.5309982299805","84.2330017089844","83.8899993896484","84.1179962158203","84.8079986572266","84.6959991455078","85.0370025634766","84.9660034179688","84.6709976196289","84.8489990234375","85.1009979248047","85.5699996948242","85.2600021362305","85.0299987792969","85.6119995117188","85.4509963989258","85.4499969482422","85.9130020141602","86.0650024414063","86.4560012817383","86.4160003662109","86.4530029296875","86.484001159668",
"Sweden","SWE","Wage and salaried workers, female (% of female employment) (modeled ILO estimate)","SL.EMP.WORK.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93.1240005493164","93.0579986572266","93.0149993896484","93.0759963989258","93.1470031738281","93.3059997558594","93.4020004272461","93.3440017700195","93.5650024414063","94.1320037841797","94.2289962768555","94.3130035400391","94.5790023803711","94.4250030517578","94.2310028076172","94.2470016479492","94.1859970092773","94.0800018310547","93.7789993286133","93.5579986572266","93.9940032958984","94.0670013427734","93.7770004272461","93.7929992675781","93.7710037231445","93.8830032348633","94.2170028686523","94.2310028076172","94.2440032958984",
"Sweden","SWE","Vulnerable employment, total (% of total employment) (modeled ILO estimate)","SL.EMP.VULN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.42600005865097","8.48399990797043","8.51899999380112","8.45899993181229","8.37799996137619","8.09700018167495","7.57999986410141","7.36499983072281","7.36700022220611","7.13599988818169","6.96600008010864","6.95500007271767","6.62599989771843","6.85399976372719","6.86600014567375","6.79599982500077","6.6850000321865","6.64200007915497","6.92800022661686","7.02999979257584","6.75200000405312","6.68200002610683","6.78200004994869","6.71799992024898","6.67900009453297","6.34999987483025","6.25100013613701","6.23500017821788","6.22300006449223",
"Sweden","SWE","Vulnerable employment, male (% of male employment) (modeled ILO estimate)","SL.EMP.VULN.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.3469998240471","11.4630000293255","11.5280000865459","11.4300002753735","11.3159997165203","10.9990002214908","10.0629996657372","9.67299970984459","9.93700024485589","9.94099998474122","9.33400020003318","9.36800011992455","9.11899980902672","9.39100015163421","9.33499976992607","9.1840004324913","8.84999987483024","8.69699974358082","9.02799960970878","9.12599980831146","8.91400021314621","8.90799984335899","8.83200046420098","8.69300006330014","8.64299961924553","8.11400006711483","8.04800000786782","8.03399981558323","8.02300018072128",
